query_gene	ref_gene	query_chr	ref_chr	query_index	ref_index	Type
gene:Zm00001eb033390	gene:SORBI_3007G226700	1	7	2977	2364	quota_align
gene:Zm00001eb033400	gene:SORBI_3007G227000	1	7	2978	2367	quota_Anchor
gene:Zm00001eb033410	gene:SORBI_3007G227100	1	7	2979	2368	shared_gene_pairs
gene:Zm00001eb033440	gene:SORBI_3007G227300	1	7	2980	2369	shared_gene_pairs
gene:Zm00001eb033460	gene:SORBI_3007G227500	1	7	2982	2371	shared_gene_pairs
gene:Zm00001eb033470	gene:SORBI_3007G227600	1	7	2983	2372	shared_gene_pairs
gene:Zm00001eb033480	gene:SORBI_3007G227700	1	7	2984	2373	shared_gene_pairs
gene:Zm00001eb033520	gene:SORBI_3007G226500	1	7	2988	2362	shared_gene_pairs
gene:Zm00001eb033540	gene:SORBI_3007G226000	1	7	2990	2357	shared_gene_pairs
gene:Zm00001eb033550	gene:SORBI_3007G225800	1	7	2991	2355	shared_gene_pairs
gene:Zm00001eb033570	gene:SORBI_3007G225600	1	7	2992	2353	shared_gene_pairs
gene:Zm00001eb033580	gene:SORBI_3007G225300	1	7	2993	2350	quota_Anchor
gene:Zm00001eb033580	gene:SORBI_3007G225200	1	7	2993	2349	quota_align
gene:Zm00001eb033590	gene:SORBI_3007G225100	1	7	2994	2348	shared_gene_pairs
gene:Zm00001eb033600	gene:SORBI_3007G224900	1	7	2995	2345	shared_gene_pairs
gene:Zm00001eb033610	gene:SORBI_3007G224800	1	7	2996	2344	shared_gene_pairs
gene:Zm00001eb033620	gene:SORBI_3007G224500	1	7	2997	2341	shared_gene_pairs
gene:Zm00001eb033630	gene:SORBI_3007G224400	1	7	2998	2340	shared_gene_pairs
gene:Zm00001eb033640	gene:SORBI_3007G224300	1	7	2999	2339	shared_gene_pairs
gene:Zm00001eb033650	gene:SORBI_3007G223600	1	7	3000	2332	shared_gene_pairs
gene:Zm00001eb033660	gene:SORBI_3007G223400	1	7	3001	2330	shared_gene_pairs
gene:Zm00001eb033670	gene:SORBI_3007G223200	1	7	3002	2327	shared_gene_pairs
gene:Zm00001eb033680	gene:SORBI_3007G223000	1	7	3003	2324	shared_gene_pairs
gene:Zm00001eb033690	gene:SORBI_3007G222900	1	7	3004	2323	shared_gene_pairs
gene:Zm00001eb033700	gene:SORBI_3007G222800	1	7	3005	2322	shared_gene_pairs
gene:Zm00001eb033710	gene:SORBI_3007G222700	1	7	3006	2321	quota_align
gene:Zm00001eb033760	gene:SORBI_3007G221400	1	7	3010	2308	shared_gene_pairs
gene:Zm00001eb033780	gene:SORBI_3007G221100	1	7	3011	2305	shared_gene_pairs
gene:Zm00001eb033790	gene:SORBI_3007G221000	1	7	3012	2304	shared_gene_pairs
gene:Zm00001eb033820	gene:SORBI_3007G220300	1	7	3014	2299	shared_gene_pairs
gene:Zm00001eb033830	gene:SORBI_3007G220200	1	7	3015	2298	shared_gene_pairs
gene:Zm00001eb033870	gene:SORBI_3007G219900	1	7	3019	2292	shared_gene_pairs
gene:Zm00001eb033900	gene:SORBI_3007G219800	1	7	3022	2291	shared_gene_pairs
gene:Zm00001eb033910	gene:SORBI_3007G219500	1	7	3023	2288	shared_gene_pairs
gene:Zm00001eb033920	gene:SORBI_3007G219400	1	7	3024	2287	shared_gene_pairs
gene:Zm00001eb033930	gene:SORBI_3007G219300	1	7	3025	2286	shared_gene_pairs
gene:Zm00001eb033950	gene:SORBI_3007G219000	1	7	3026	2283	quota_align
gene:Zm00001eb033960	gene:SORBI_3007G219100	1	7	3027	2284	quota_align
gene:Zm00001eb034000	gene:SORBI_3007G219200	1	7	3029	2285	shared_gene_pairs
gene:Zm00001eb034010	gene:SORBI_3007G218000	1	7	3030	2271	shared_gene_pairs
gene:Zm00001eb034030	gene:SORBI_3007G217600	1	7	3032	2267	shared_gene_pairs
gene:Zm00001eb034040	gene:SORBI_3007G217400	1	7	3033	2265	shared_gene_pairs
gene:Zm00001eb034050	gene:SORBI_3007G217300	1	7	3034	2263	shared_gene_pairs
gene:Zm00001eb034060	gene:SORBI_3007G217100	1	7	3035	2261	shared_gene_pairs
gene:Zm00001eb034080	gene:SORBI_3007G217000	1	7	3036	2260	shared_gene_pairs
gene:Zm00001eb034090	gene:SORBI_3007G216900	1	7	3037	2259	shared_gene_pairs
gene:Zm00001eb034100	gene:SORBI_3007G216600	1	7	3038	2256	shared_gene_pairs
gene:Zm00001eb034130	gene:SORBI_3007G216300	1	7	3041	2252	quota_Anchor
gene:Zm00001eb034180	gene:SORBI_3007G216100	1	7	3045	2250	shared_gene_pairs
gene:Zm00001eb034190	gene:SORBI_3007G215300	1	7	3046	2242	shared_gene_pairs
gene:Zm00001eb034200	gene:SORBI_3007G215200	1	7	3047	2241	shared_gene_pairs
gene:Zm00001eb034260	gene:SORBI_3007G213700	1	7	3052	2228	quota_align
gene:Zm00001eb034290	gene:SORBI_3007G214300	1	7	3054	2233	shared_gene_pairs
gene:Zm00001eb034330	gene:SORBI_3007G214600	1	7	3058	2236	quota_align
gene:Zm00001eb034390	gene:SORBI_3007G213800	1	7	3062	2229	quota_Anchor
gene:Zm00001eb034570	gene:SORBI_3007G213700	1	7	3079	2228	quota_Anchor
gene:Zm00001eb034610	gene:SORBI_3007G214300	1	7	3082	2233	quota_align
gene:Zm00001eb034650	gene:SORBI_3007G213300	1	7	3085	2224	quota_Anchor
gene:Zm00001eb034670	gene:SORBI_3007G213200	1	7	3087	2223	shared_gene_pairs
gene:Zm00001eb034690	gene:SORBI_3007G213000	1	7	3089	2221	shared_gene_pairs
gene:Zm00001eb034700	gene:SORBI_3007G212900	1	7	3090	2220	shared_gene_pairs
gene:Zm00001eb034710	gene:SORBI_3007G212800	1	7	3091	2219	shared_gene_pairs
gene:Zm00001eb034720	gene:SORBI_3007G212700	1	7	3092	2218	shared_gene_pairs
gene:Zm00001eb034730	gene:SORBI_3007G212500	1	7	3093	2216	shared_gene_pairs
gene:Zm00001eb034740	gene:SORBI_3007G212400	1	7	3094	2215	shared_gene_pairs
gene:Zm00001eb034750	gene:SORBI_3007G212300	1	7	3095	2214	shared_gene_pairs
gene:Zm00001eb034760	gene:SORBI_3007G212200	1	7	3096	2212	shared_gene_pairs
gene:Zm00001eb034780	gene:SORBI_3007G212100	1	7	3099	2211	shared_gene_pairs
gene:Zm00001eb034800	gene:SORBI_3007G212000	1	7	3100	2210	shared_gene_pairs
gene:Zm00001eb034810	gene:SORBI_3007G211900	1	7	3101	2209	shared_gene_pairs
gene:Zm00001eb034820	gene:SORBI_3007G211800	1	7	3102	2208	shared_gene_pairs
gene:Zm00001eb034830	gene:SORBI_3007G211700	1	7	3103	2207	shared_gene_pairs
gene:Zm00001eb034840	gene:SORBI_3007G211600	1	7	3104	2206	shared_gene_pairs
gene:Zm00001eb034850	gene:SORBI_3007G211500	1	7	3105	2205	shared_gene_pairs
gene:Zm00001eb034870	gene:SORBI_3007G211400	1	7	3106	2204	shared_gene_pairs
gene:Zm00001eb034890	gene:SORBI_3007G211300	1	7	3108	2203	shared_gene_pairs
gene:Zm00001eb034900	gene:SORBI_3007G211200	1	7	3109	2202	shared_gene_pairs
gene:Zm00001eb034920	gene:SORBI_3007G211100	1	7	3111	2201	shared_gene_pairs
gene:Zm00001eb034940	gene:SORBI_3007G211000	1	7	3112	2200	shared_gene_pairs
gene:Zm00001eb034970	gene:SORBI_3007G210900	1	7	3114	2199	shared_gene_pairs
gene:Zm00001eb034980	gene:SORBI_3007G210700	1	7	3115	2197	shared_gene_pairs
gene:Zm00001eb034990	gene:SORBI_3007G210500	1	7	3116	2195	shared_gene_pairs
gene:Zm00001eb035010	gene:SORBI_3007G210400	1	7	3117	2194	shared_gene_pairs
gene:Zm00001eb035020	gene:SORBI_3007G210300	1	7	3118	2193	shared_gene_pairs
gene:Zm00001eb035030	gene:SORBI_3007G210200	1	7	3119	2192	shared_gene_pairs
gene:Zm00001eb035040	gene:SORBI_3007G209800	1	7	3120	2188	shared_gene_pairs
gene:Zm00001eb035050	gene:SORBI_3007G209500	1	7	3121	2185	shared_gene_pairs
gene:Zm00001eb035180	gene:SORBI_3007G209200	1	7	3131	2182	shared_gene_pairs
gene:Zm00001eb035190	gene:SORBI_3007G209100	1	7	3132	2181	shared_gene_pairs
gene:Zm00001eb035200	gene:SORBI_3007G209000	1	7	3133	2180	shared_gene_pairs
gene:Zm00001eb035220	gene:SORBI_3007G208800	1	7	3134	2178	shared_gene_pairs
gene:Zm00001eb035230	gene:SORBI_3007G208600	1	7	3135	2176	shared_gene_pairs
gene:Zm00001eb035240	gene:SORBI_3007G208400	1	7	3136	2174	shared_gene_pairs
gene:Zm00001eb035260	gene:SORBI_3007G208300	1	7	3137	2173	shared_gene_pairs
gene:Zm00001eb035270	gene:SORBI_3007G208200	1	7	3138	2172	shared_gene_pairs
gene:Zm00001eb035290	gene:SORBI_3007G208100	1	7	3139	2171	shared_gene_pairs
gene:Zm00001eb035310	gene:SORBI_3007G208000	1	7	3141	2170	shared_gene_pairs
gene:Zm00001eb035320	gene:SORBI_3007G207900	1	7	3142	2169	shared_gene_pairs
gene:Zm00001eb035340	gene:SORBI_3007G207800	1	7	3144	2168	shared_gene_pairs
gene:Zm00001eb035350	gene:SORBI_3007G207700	1	7	3145	2167	shared_gene_pairs
gene:Zm00001eb035360	gene:SORBI_3007G207400	1	7	3146	2164	shared_gene_pairs
gene:Zm00001eb035370	gene:SORBI_3007G207000	1	7	3147	2160	shared_gene_pairs
