chr	length	total_gene
1A	114473952	2442
1B	123268843	2452
1C	98834459	2184
1D	116847860	2721
2A	121903222	2322
2B	114058935	2177
2C	126636275	2273
2D	109189819	1988
3A	78354946	1833
3B	100835780	1898
3C	95716096	2038
3D	61676436	1262
4A	75149313	1272
4B	77079522	1330
4C	80928851	1349
4D	82653437	1481
5A	91445600	1496
5B	92524012	1409
5C	89762077	1427
5D	84926298	1604
6A	105899069	1418
6B	90128929	1269
6C	92112115	1286
6D	91359291	1226
7A	79322609	1585
7B	81286239	1602
7C	85735580	1321
7D	84617075	1544
8A	67761837	1476
8B	65018260	1342
8C	53761611	1000
8D	66972488	1257
