chr	length	total_gene
GWHBFHI00000001	49614183	3398
GWHBFHI00000002	47113929	3354
GWHBFHI00000003	45589514	2899
GWHBFHI00000004	44978158	3912
GWHBFHI00000005	32993399	2795
GWHBFHI00000006	32890564	1705
GWHBFHI00000007	32785325	1991
GWHBFHI00000008	32288080	2573
GWHBFHI00000009	28249898	2367
GWHBFHI00000010	27422952	2139
GWHBFHI00000011	27424264	1868
GWHBFHI00000012	25651291	1729
GWHBFHI00000013	23650667	1695
GWHBFHI00000014	23074643	1237
GWHBFHI00000015	21753964	1671
GWHBFHI00000016	21398343	1514
GWHBFHI00000017	17007837	1259
