gene:Zm00001eb000170	gene:SORBI_3001G544500
gene:Zm00001eb000190	gene:SORBI_3001G544300
gene:Zm00001eb000200	gene:SORBI_3001G544400
gene:Zm00001eb000210	gene:SORBI_3001G543900
gene:Zm00001eb000220	gene:SORBI_3001G543800
gene:Zm00001eb000230	gene:SORBI_3001G543700
gene:Zm00001eb000240	gene:SORBI_3001G543500
gene:Zm00001eb000320	gene:SORBI_3001G543300
gene:Zm00001eb000330	gene:SORBI_3001G543200
gene:Zm00001eb000340	gene:SORBI_3001G542400
gene:Zm00001eb000380	gene:SORBI_3001G542100
gene:Zm00001eb000390	gene:SORBI_3001G541900
gene:Zm00001eb000400	gene:SORBI_3001G541700
gene:Zm00001eb000420	gene:SORBI_3001G541500
gene:Zm00001eb000440	gene:SORBI_3001G541300
gene:Zm00001eb000460	gene:SORBI_3001G541166
gene:Zm00001eb000480	gene:SORBI_3001G541100
gene:Zm00001eb000490	gene:SORBI_3001G540900
gene:Zm00001eb000500	gene:SORBI_3001G540700
gene:Zm00001eb000510	gene:SORBI_3001G540600
gene:Zm00001eb000520	gene:SORBI_3001G540400
gene:Zm00001eb000540	gene:SORBI_3001G540200
gene:Zm00001eb000550	gene:SORBI_3001G539500
gene:Zm00001eb000570	gene:SORBI_3001G539400
gene:Zm00001eb000580	gene:SORBI_3001G539200
gene:Zm00001eb000590	gene:SORBI_3001G539016
gene:Zm00001eb000600	gene:SORBI_3001G538932
gene:Zm00001eb000620	gene:SORBI_3001G538800
gene:Zm00001eb000640	gene:SORBI_3001G538700
gene:Zm00001eb000650	gene:SORBI_3001G538100
gene:Zm00001eb000660	gene:SORBI_3001G538000
gene:Zm00001eb000670	gene:SORBI_3001G537800
gene:Zm00001eb000680	gene:SORBI_3001G537600
gene:Zm00001eb000690	gene:SORBI_3001G537300
gene:Zm00001eb000700	gene:SORBI_3001G537200
gene:Zm00001eb000710	gene:SORBI_3001G537100
gene:Zm00001eb000720	gene:SORBI_3001G536901
gene:Zm00001eb000740	gene:SORBI_3001G536800
gene:Zm00001eb000760	gene:SORBI_3001G536600
gene:Zm00001eb000770	gene:SORBI_3001G536500
gene:Zm00001eb000780	gene:SORBI_3001G536400
gene:Zm00001eb000790	gene:SORBI_3001G536100
gene:Zm00001eb000800	gene:SORBI_3001G536000
gene:Zm00001eb000820	gene:SORBI_3001G535800
gene:Zm00001eb000840	gene:SORBI_3001G535400
gene:Zm00001eb000850	gene:SORBI_3001G535600
gene:Zm00001eb000860	gene:SORBI_3001G534800
gene:Zm00001eb000870	gene:SORBI_3001G534700
gene:Zm00001eb000880	gene:SORBI_3001G534300
gene:Zm00001eb000890	gene:SORBI_3001G534000
gene:Zm00001eb000900	gene:SORBI_3001G533900
gene:Zm00001eb000910	gene:SORBI_3001G533800
gene:Zm00001eb000920	gene:SORBI_3001G533700
gene:Zm00001eb000930	gene:SORBI_3001G533600
gene:Zm00001eb000970	gene:SORBI_3001G533400
gene:Zm00001eb000980	gene:SORBI_3001G533300
gene:Zm00001eb000990	gene:SORBI_3001G533200
gene:Zm00001eb001000	gene:SORBI_3001G533100
gene:Zm00001eb001010	gene:SORBI_3001G533000
gene:Zm00001eb001020	gene:SORBI_3001G532900
gene:Zm00001eb001040	gene:SORBI_3001G532700
gene:Zm00001eb001050	gene:SORBI_3001G532600
gene:Zm00001eb001060	gene:SORBI_3001G532501
gene:Zm00001eb001070	gene:SORBI_3001G532400
gene:Zm00001eb001110	gene:SORBI_3001G532100
gene:Zm00001eb001120	gene:SORBI_3001G532000
gene:Zm00001eb001130	gene:SORBI_3001G531900
gene:Zm00001eb001140	gene:SORBI_3001G531800
gene:Zm00001eb001150	gene:SORBI_3001G531700
gene:Zm00001eb001170	gene:SORBI_3001G531500
gene:Zm00001eb001180	gene:SORBI_3001G531400
gene:Zm00001eb001190	gene:SORBI_3001G531300
gene:Zm00001eb001200	gene:SORBI_3001G531200
gene:Zm00001eb001210	gene:SORBI_3001G531100
gene:Zm00001eb001220	gene:SORBI_3001G531000
gene:Zm00001eb001240	gene:SORBI_3001G530800
gene:Zm00001eb001260	gene:SORBI_3001G530600
gene:Zm00001eb001270	gene:SORBI_3001G530500
gene:Zm00001eb001280	gene:SORBI_3001G530350
gene:Zm00001eb001340	gene:SORBI_3001G530100
gene:Zm00001eb001350	gene:SORBI_3001G530000
gene:Zm00001eb001360	gene:SORBI_3001G529900
gene:Zm00001eb001370	gene:SORBI_3001G529800
gene:Zm00001eb001430	gene:SORBI_3001G529600
gene:Zm00001eb001440	gene:SORBI_3001G529500
gene:Zm00001eb001460	gene:SORBI_3001G529200
gene:Zm00001eb001470	gene:SORBI_3001G529100
gene:Zm00001eb001480	gene:SORBI_3001G529000
gene:Zm00001eb001490	gene:SORBI_3001G528800
gene:Zm00001eb001500	gene:SORBI_3001G528900
gene:Zm00001eb001510	gene:SORBI_3001G528600
gene:Zm00001eb001530	gene:SORBI_3001G528300
gene:Zm00001eb001550	gene:SORBI_3001G528200
gene:Zm00001eb001560	gene:SORBI_3001G528100
gene:Zm00001eb001570	gene:SORBI_3001G527800
gene:Zm00001eb001590	gene:SORBI_3001G527700
gene:Zm00001eb001600	gene:SORBI_3001G527600
gene:Zm00001eb001630	gene:SORBI_3001G527500
gene:Zm00001eb001640	gene:SORBI_3001G527100
gene:Zm00001eb001650	gene:SORBI_3001G527000
gene:Zm00001eb001670	gene:SORBI_3001G526800
