jcvi_default	jcvi_diamond	jcvi_blast	quota_Anchor_diamond	quota_Anchor_blast	jcvi_default_part1	jcvi_default_part2	jcvi_default_part3	jcvi_diamond_part1	jcvi_diamond_part2	jcvi_diamond_part3	jcvi_blast_part1	jcvi_blast_part2	jcvi_blast_part3
gene:Zm00001eb000170_gene:SORBI_3001G544500	gene:Zm00001eb000170_gene:SORBI_3001G544500	gene:Zm00001eb000170_gene:SORBI_3001G544500	gene:Zm00001eb023400_gene:SORBI_3001G300500	gene:Zm00001eb023400_gene:SORBI_3001G300500	gene:Zm00001eb000170_gene:SORBI_3001G544500	gene:Zm00001eb000340_gene:SORBI_3001G542400	gene:Zm00001eb009080_gene:SORBI_3001G451700	gene:Zm00001eb000170_gene:SORBI_3001G544500	gene:Zm00001eb000340_gene:SORBI_3001G542400	gene:Zm00001eb004170_gene:SORBI_3001G501300	gene:Zm00001eb000170_gene:SORBI_3001G544500	gene:Zm00001eb000340_gene:SORBI_3001G542400	gene:Zm00001eb004170_gene:SORBI_3001G501300
gene:Zm00001eb000180_gene:SORBI_3001G544600	gene:Zm00001eb000190_gene:SORBI_3001G544300	gene:Zm00001eb000190_gene:SORBI_3001G544300	gene:Zm00001eb023140_gene:SORBI_3001G302900	gene:Zm00001eb023140_gene:SORBI_3001G302900	gene:Zm00001eb000180_gene:SORBI_3001G544600	gene:Zm00001eb000520_gene:SORBI_3001G540400	gene:Zm00001eb009300_gene:SORBI_3001G451700	gene:Zm00001eb000190_gene:SORBI_3001G544300	gene:Zm00001eb000520_gene:SORBI_3001G540400	gene:Zm00001eb009080_gene:SORBI_3001G451700	gene:Zm00001eb000190_gene:SORBI_3001G544300	gene:Zm00001eb000520_gene:SORBI_3001G540400	gene:Zm00001eb004980_gene:SORBI_3001G495100
gene:Zm00001eb000190_gene:SORBI_3001G544300	gene:Zm00001eb000200_gene:SORBI_3001G544400	gene:Zm00001eb000200_gene:SORBI_3001G544400	gene:Zm00001eb023130_gene:SORBI_3001G303000	gene:Zm00001eb023130_gene:SORBI_3001G303000	gene:Zm00001eb000190_gene:SORBI_3001G544300	gene:Zm00001eb000540_gene:SORBI_3001G540200	gene:Zm00001eb012470_gene:SORBI_3001G420100	gene:Zm00001eb000200_gene:SORBI_3001G544400	gene:Zm00001eb000540_gene:SORBI_3001G540200	gene:Zm00001eb009300_gene:SORBI_3001G451700	gene:Zm00001eb000200_gene:SORBI_3001G544400	gene:Zm00001eb000540_gene:SORBI_3001G540200	gene:Zm00001eb009080_gene:SORBI_3001G451700
gene:Zm00001eb000200_gene:SORBI_3001G544400	gene:Zm00001eb000210_gene:SORBI_3001G543900	gene:Zm00001eb000210_gene:SORBI_3001G543900	gene:Zm00001eb023120_gene:SORBI_3001G303100	gene:Zm00001eb023120_gene:SORBI_3001G303100	gene:Zm00001eb000200_gene:SORBI_3001G544400	gene:Zm00001eb000550_gene:SORBI_3001G539500	gene:Zm00001eb012590_gene:SORBI_3001G418000	gene:Zm00001eb000210_gene:SORBI_3001G543900	gene:Zm00001eb000550_gene:SORBI_3001G539500	gene:Zm00001eb012470_gene:SORBI_3001G420100	gene:Zm00001eb000210_gene:SORBI_3001G543900	gene:Zm00001eb000550_gene:SORBI_3001G539500	gene:Zm00001eb009300_gene:SORBI_3001G451700
gene:Zm00001eb000210_gene:SORBI_3001G543900	gene:Zm00001eb000220_gene:SORBI_3001G543800	gene:Zm00001eb000220_gene:SORBI_3001G543800	gene:Zm00001eb023110_gene:SORBI_3001G303200	gene:Zm00001eb023110_gene:SORBI_3001G303200	gene:Zm00001eb000210_gene:SORBI_3001G543900	gene:Zm00001eb000590_gene:SORBI_3001G539016	gene:Zm00001eb049660_gene:SORBI_3001G176400	gene:Zm00001eb000220_gene:SORBI_3001G543800	gene:Zm00001eb000590_gene:SORBI_3001G539016	gene:Zm00001eb012590_gene:SORBI_3001G418000	gene:Zm00001eb000220_gene:SORBI_3001G543800	gene:Zm00001eb000590_gene:SORBI_3001G539016	gene:Zm00001eb012470_gene:SORBI_3001G420100
gene:Zm00001eb000220_gene:SORBI_3001G543800	gene:Zm00001eb000230_gene:SORBI_3001G543700	gene:Zm00001eb000230_gene:SORBI_3001G543700	gene:Zm00001eb023100_gene:SORBI_3001G303300	gene:Zm00001eb023100_gene:SORBI_3001G303300	gene:Zm00001eb000220_gene:SORBI_3001G543800	gene:Zm00001eb000690_gene:SORBI_3001G537300	gene:Zm00001eb049790_gene:SORBI_3001G176400	gene:Zm00001eb000230_gene:SORBI_3001G543700	gene:Zm00001eb000690_gene:SORBI_3001G537300	gene:Zm00001eb012920_gene:SORBI_3001G412800	gene:Zm00001eb000230_gene:SORBI_3001G543700	gene:Zm00001eb000690_gene:SORBI_3001G537300	gene:Zm00001eb012590_gene:SORBI_3001G418000
gene:Zm00001eb000230_gene:SORBI_3001G543700	gene:Zm00001eb000240_gene:SORBI_3001G543500	gene:Zm00001eb000240_gene:SORBI_3001G543500	gene:Zm00001eb023090_gene:SORBI_3001G303600	gene:Zm00001eb023090_gene:SORBI_3001G303600	gene:Zm00001eb000230_gene:SORBI_3001G543700	gene:Zm00001eb000700_gene:SORBI_3001G537200	gene:Zm00001eb049980_gene:SORBI_3001G172700	gene:Zm00001eb000240_gene:SORBI_3001G543500	gene:Zm00001eb000700_gene:SORBI_3001G537200	gene:Zm00001eb012930_gene:SORBI_3001G412800	gene:Zm00001eb000240_gene:SORBI_3001G543500	gene:Zm00001eb000700_gene:SORBI_3001G537200	gene:Zm00001eb012920_gene:SORBI_3001G412800
gene:Zm00001eb000240_gene:SORBI_3001G543500	gene:Zm00001eb000320_gene:SORBI_3001G543300	gene:Zm00001eb000320_gene:SORBI_3001G543300	gene:Zm00001eb023080_gene:SORBI_3001G304000	gene:Zm00001eb023080_gene:SORBI_3001G304000	gene:Zm00001eb000240_gene:SORBI_3001G543500	gene:Zm00001eb000720_gene:SORBI_3001G536901	gene:Zm00001eb062820_gene:SORBI_3001G034000	gene:Zm00001eb000320_gene:SORBI_3001G543300	gene:Zm00001eb000720_gene:SORBI_3001G536901	gene:Zm00001eb020610_gene:SORBI_3001G330200	gene:Zm00001eb000320_gene:SORBI_3001G543300	gene:Zm00001eb000720_gene:SORBI_3001G536901	gene:Zm00001eb012930_gene:SORBI_3001G412800
gene:Zm00001eb000320_gene:SORBI_3001G543300	gene:Zm00001eb000330_gene:SORBI_3001G543200	gene:Zm00001eb000330_gene:SORBI_3001G543200	gene:Zm00001eb023070_gene:SORBI_3001G304100	gene:Zm00001eb023070_gene:SORBI_3001G304100	gene:Zm00001eb000320_gene:SORBI_3001G543300	gene:Zm00001eb000760_gene:SORBI_3001G536600	gene:Zm00001eb064460_gene:SORBI_3001G016201	gene:Zm00001eb000330_gene:SORBI_3001G543200	gene:Zm00001eb000760_gene:SORBI_3001G536600	gene:Zm00001eb020640_gene:SORBI_3001G330200	gene:Zm00001eb000330_gene:SORBI_3001G543200	gene:Zm00001eb000760_gene:SORBI_3001G536600	gene:Zm00001eb021640_gene:SORBI_3001G318600
gene:Zm00001eb000330_gene:SORBI_3001G543200	gene:Zm00001eb000340_gene:SORBI_3001G542400	gene:Zm00001eb000340_gene:SORBI_3001G542400	gene:Zm00001eb023060_gene:SORBI_3001G304201	gene:Zm00001eb023060_gene:SORBI_3001G304201	gene:Zm00001eb000330_gene:SORBI_3001G543200	gene:Zm00001eb000820_gene:SORBI_3001G535800	gene:Zm00001eb036930_gene:SORBI_3007G194100	gene:Zm00001eb000380_gene:SORBI_3001G542100	gene:Zm00001eb000790_gene:SORBI_3001G536100	gene:Zm00001eb023420_gene:SORBI_3001G300900	gene:Zm00001eb000380_gene:SORBI_3001G542100	gene:Zm00001eb000790_gene:SORBI_3001G536100	gene:Zm00001eb023070_gene:SORBI_3001G304300
