chr	length	total_gene
DL01	64906485	5869
DL02	37784906	2812
DL03	63762862	4741
DL04	40329860	2397
DL05	57384986	4805
DL06	42512179	2994
DL07	48779890	3995
DL08	41009724	2752
DL09	39951026	3173
EL01	43804939	5011
EL02	43084794	4445
EL03	42336972	4081
EL04	26561852	1985
EL05	39359100	4141
EL06	28078520	2640
EL07	29828018	3050
EL08	28545782	2364
EL09	28853634	2876
FL01	52230608	4963
FL02	43752429	4126
FL03	42067172	3825
FL04	30378244	1871
FL05	43441454	3758
FL06	31880733	2622
FL07	40930209	3374
FL08	30107245	2205
FL09	32271771	2766
