chr	length	total_gene
GWHBHQB00000001	56531140	4957
GWHBHQB00000002	71859996	3564
GWHBHQB00000003	66437242	3761
GWHBHQB00000004	62534110	3001
GWHBHQB00000005	58585186	3021
GWHBHQB00000006	60757629	3149
GWHBHQB00000007	54959802	2983
GWHBHQB00000008	50763784	2235
GWHBHQB00000009	39638948	1429
GWHBHQB00000010	43602687	1766
GWHBHQB00000011	44798340	2138
GWHBHQB00000012	40297108	1879
GWHBHQB00000013	38094786	2018
GWHBHQB00000014	38735460	1311
GWHBHQB00000015	35791871	1171
GWHBHQB00000016	32066127	1440
GWHBHQB00000017	31420067	1325
GWHBHQB00000018	27442083	777
GWHBHQB00000019	29759275	1405
GWHBHQB00000020	29340239	1033
GWHBHQB00000021	28684315	1417
GWHBHQB00000022	22837843	878
GWHBHQB00000023	32317530	1403
GWHBHQB00000024	32830191	1571
